instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions totalcoefs avgcoefs maxcoefs
cyclicnh4 classical 5 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 7 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 24 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 6 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 8 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 25 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 9 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 7 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 26 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 8 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh5 classical 23 perturbation 0.23 0.15 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
katsuran4 classical 27 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 9 random 0.07 0.06 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 28 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuran4 classical 29 random 0.08 0.06 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 0 static 0.03 0.00 0.00 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 10 random 0.32 0.30 0.29 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh5 classical 24 perturbation 0.25 0.17 0.15 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicn4 classical 11 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 12 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 10 random 0.32 0.30 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 0 caboara-perry 0.21 0.15 0.11 0.01 0.03 7 53 4 12 5 616 88.00 253
cyclicn4 classical 13 random 0.06 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 11 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh5 classical 25 perturbation 0.23 0.15 0.14 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicn4 classical 14 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 0 perturbation 0.10 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 12 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn5 classical 10 perturbation 1.03 0.26 0.23 0.05 0.67 23 295 8 124 83 2035 88.00 237
cyclicn4 classical 15 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 13 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 1 perturbation 0.10 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 16 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
