instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
sendrah F4 22 perturbation 0.70 0.08 0.07 0.03 0.56 6 220 13 1707 131
binomial_7_4_7_8 classical 0 localsearch 0.37 0.30 0.22 0.01 0.06 9 18 7 27 18
sendrah F4 23 perturbation 0.22 0.05 0.04 0.01 0.15 4 89 14 904 52
binomial_7_4_7_8 F4 0 localsearch 0.20 0.17 0.08 0.01 0.01 17 34 8 368 164
sendrah F4 24 perturbation 0.25 0.05 0.04 0.01 0.18 13 513 22 1018 59
sendrah F4 25 perturbation 0.19 0.04 0.04 0.01 0.13 2 26 7 868 50
econh7 classical 0 static 0.50 0.00 0.00 0.04 0.44 51 1127 10 213 162
econh7 F4 0 static 0.21 0.00 0.00 0.03 0.15 51 1127 10 1185 171
sendrah F4 26 perturbation 0.80 0.10 0.09 0.06 0.60 5 171 13 1962 180
sendrah F4 27 perturbation 0.31 0.04 0.04 0.01 0.24 8 271 19 942 54
sendrah F4 28 perturbation 0.22 0.05 0.04 0.01 0.14 2 26 7 868 50
sendrah F4 29 perturbation 0.69 0.16 0.14 0.06 0.42 20 906 20 1441 182
sendrah classical 0 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 1 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 2 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 3 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 4 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 5 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 6 random 0.04 0.03 0.03 0.00 0.00 7 221 14 9 2
sendrah classical 7 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 8 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 9 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 10 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 11 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 12 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 13 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 14 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 15 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 16 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 17 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 18 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 19 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 20 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 21 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 22 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 23 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 24 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 25 random 0.13 0.12 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 26 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 27 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 28 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 29 random 0.04 0.03 0.02 0.00 0.00 7 221 14 9 2
sendrah F4 0 random 0.05 0.02 0.02 0.00 0.02 6 220 13 111 3
sendrah F4 1 random 0.03 0.02 0.02 0.00 0.00 2 26 7 20 1
sendrah F4 2 random 0.03 0.03 0.02 0.00 0.00 2 26 7 20 1
sendrah F4 3 random 0.03 0.03 0.02 0.00 0.00 2 26 7 20 1
sendrah F4 4 random 0.17 0.06 0.05 0.01 0.09 6 217 14 417 29
sendrah F4 5 random 0.18 0.06 0.05 0.01 0.09 6 217 14 420 29
econh7 classical 0 caboara-perry 3.53 1.43 0.53 0.24 1.78 68 1985 15 324 256
sendrah F4 6 random 0.03 0.03 0.02 0.00 0.00 2 26 7 20 1
